number of properties,property name,originator,street address,property city,property state,zip code,county,property type,property subtype,year built,year renovated,total units,cut-off date balanceunit,unit of measure,occupancy %,occupancy as of date,"loan purpose (acquisition, refinance)",payment date,late charge grace period,note date,first payment date,maturity date,original loan amount,cut-off date loan amount,maturity balance,gross interest rate,net mortgage interest rate,accrual basis,loan amortization type,monthly debt service amount (amortizing),amortization term (original),amortization term (remaining),loan term (original),loan term (remaining),io period,seasoning,prepayment provision,appraisal valuation date,appraised value,cut-off date ltv,maturity ltv,uw ncf dscr,uw ncf dscr (io),uw egi,uw expenses,uw noi,uw ncf,most recent financial end date,most recent egi,most recent expenses,most recent noi,most recent ncf,2nd most recent financial end date,2nd most recent egi,2nd most recent expenses,2nd most recent noi,2nd most recent ncf,3rd most recent financial end date,3rd most recent egi,3rd most recent expenses,3rd most recent noi,3rd most recent ncf,lien position,title vesting (feeleaseholdboth),tax escrow (monthly),insurance escrow (monthly),replacement reserve (monthly),monthly rent per unit,secondary financing in place (existing) (yesno),future supplemental financing description,loan no property no,related borrower loans,% of cut-off date pool balance,springing reserve type,springing reserve amount,deal_name,interest adjustment period (months),first interest adjustment date in trust,rate index,margin,rate rounding methodology,interest accrual period day of month (startend),monthly debt service amount (io),monthly debt service amount (at cap),seismic insurance if pml >= 20% (yesno),additional financing in place (existing) (yesno),future supplemental financing (yesno),low income units,very low income units,loan group,entity type,borrower type,balance after fixed rate period,maximum interest adjustment (lifetime),zoning status,title vesting (feeleasehold),administration fee rate,latitude,longitude
1,Trails At 2112,,2112 Floyd Avenue,Modesto,CA,95355,Stanislaus,Multifamily,Garden,1985,2022,97,178762.89,Units,0.959,2022-11-23 00:00:00,Refinance,1,10,2022-12-29 00:00:00,2023-02-01 00:00:00,2033-01-01 00:00:00,17340000,17340000,16181401.25,0.0581,0.0564905,Actual/360,Partial IO,101853.43,360,360,120,118,60,2,L(26) D(90) O(4),2022-11-09 00:00:00,28900000,0.6,0.56,1.27,1.52,2231375.85,659232.26,1572143.59,1553203.37,10/31/2022,2161584.68,680130.64,1481454.04,1481454.04,12/31/2021,1621565.34,564435.2,1057130.14,1057130.14,,,,,,First Mortgage,Fee Simple,,,1578,1934,,"(i) Max combined LTV of 65.0% (ii) Min combined DSCR of 1.25x (iii) EGI of $2,298,317 and NOI of $1,599,799",,,0.01452979678389426,Radon Remediation Reserve,,FREMF_2023-K154,,,,,,,85120.53,,No,No,Yes,,,,,,,,,,0.0016095000000000003,37.67798,-120.95953
1,The Retreat At Eldridge,,2323 Eldridge Parkway,Houston,TX,77077,Harris,Multifamily,Garden,1997,2022,168,89666.67,Units,0.896,2023-01-25 00:00:00,Acquisition,1,10,2022-11-14 00:00:00,2023-01-01 00:00:00,2032-12-01 00:00:00,15064000,15064000,14309346.74,0.0438,0.0424905,Actual/360,Partial IO,70176.04,420,420,120,117,72,3,L(27) D(89) O(4),2022-07-05 00:00:00,31100000,0.484,0.46,1.29,1.63,2409951,1296433.65,1113517.35,1088317.35,2022-09-30 00:00:00,2321881,1182312,1139569,1139569,12/31/2021,2253278,1135866,1117412,1117412,12/31/2020,2124534,1183304,941230,941230,First Mortgage,Fee Simple,,,2100,1247.99,,"(i) Max combined LTV of 55.0% (ii) Min combined DSCR of 1.25x (iii) EGI of $2,482,250 and NOI of $1,120,967",,Group 1,0.01262265621410514,,,FREMF_2023-K154,,,,,,,55747.26,,No,No,Yes,,,,,,,,,,0.0013095000000000001,29.74058,-95.62344
1,Cielo At 820 And Cielo At Prince,,820 Sunset Drive,Athens,GA,30606,Clarke,Multifamily,Garden,1968,2020,174,86206.9,Units,0.989,2022-11-09 00:00:00,Acquisition,1,10,2022-11-30 00:00:00,2023-01-01 00:00:00,2032-12-01 00:00:00,15000000,15000000,13913832.69,0.0538,0.052290500000000004,Actual/360,Partial IO,84042.45,360,360,120,117,60,3,L(27) D(89) O(4),2022-10-12 00:00:00,20650000,0.726,0.674,1.26,1.55,2216776.49,904242.39,1312534.1,1269034.1,10/31/2022,1975666.59,732986.82,1242679.77,1242679.77,,,,,,,,,,,First Mortgage,Fee Simple,,,3625,997,,(i) Max combined LTV of 75.0% (ii) Min combined DSCR of 1.25x,,,0.012569028359770121,,,FREMF_2023-K154,,,,,,,68184.03,,No,No,Yes,,,,,,,,,,0.0015095000000000002,33.96725,-83.41012
1,Riverdale Clayton,,363 Upper Riverdale Road,Riverdale,GA,30274,Clayton,Multifamily,Garden,1969,2022,148,90270.27,Units,0.912,2022-10-26 00:00:00,Acquisition,1,10,2022-12-20 00:00:00,2023-02-01 00:00:00,2033-01-01 00:00:00,13360000,13360000,12255900.08,0.0582,0.056690500000000005,Actual/360,Partial IO,78560.44,360,360,120,118,48,2,L(26) D(90) O(4),2022-10-11 00:00:00,17600000,0.759,0.696,1.25,1.5,1960364,740658.4,1219705.6,1178857.6,11/30/2022,1803155.03,719515.95,1083639.08,2751.39,,,,,,,,,,,First Mortgage,Fee Simple,,,3404,1090.49,,(i) Max combined LTV of 80.0% (ii) Min combined DSCR of 1.25x,,,0.011194814592435254,,,FREMF_2023-K154,,,,,,,65695.94,,No,No,Yes,,,,,,,,,,0.0015095000000000002,33.57296,-84.40395
1,Steepleway Downs Apartments,,11910 Thoroughbred Drive,Houston,TX,77065,Harris,Multifamily,Garden,1983,2019,224,57272.32,Units,0.866,2022-12-31 00:00:00,Acquisition,1,10,2022-11-17 00:00:00,2023-01-01 00:00:00,2032-12-01 00:00:00,12829000,12829000,11923938.59,0.0552,0.053490499999999996,Actual/360,Partial IO,73002.71,360,360,120,117,60,3,L(27) D(89) O(4),2022-10-11 00:00:00,24890000,0.515,0.479,1.2,1.46,2889158.28,1774720.56,1114437.72,1051269.72,2022-09-30 00:00:00,2765843.37,1607652.29,1158191.08,1158191.08,12/31/2021,2420752.89,1542768.51,877984.38,877984.38,12/31/2020,2207219.88,1447715.18,759504.7,759504.7,First Mortgage,Fee Simple,,,5264,911.41,,"(i) Max combined LTV of 60.0% (ii) Min combined DSCR of 1.25x (iii) EGI of $2,975,833 and NOI of $1,082,808",,,0.010749870988499392,,,FREMF_2023-K154,,,,,,,59833.03,,No,No,Yes,,,,,,,,,,0.0017095,29.90853,-95.59459
1,Sunridge Apartments,,4502 North University Drive,Nacogdoches,TX,75965,Nacogdoches,Multifamily,Garden,1984,2021,208,59403.85,Units,0.952,2022-12-31 00:00:00,Refinance,1,10,2022-12-08 00:00:00,2023-02-01 00:00:00,2033-01-01 00:00:00,12356000,12356000,11530415.05,0.0581,0.0567905,Actual/360,Partial IO,72577.91,360,360,120,118,60,2,L(26) D(90) O(4),2022-11-04 00:00:00,17040000,0.725,0.677,1.25,1.5,2042054,898846.82,1143207.18,1088711.18,12/31/2022,1997620,808219,1189401,1189401,10/31/2022,1963877,815362,1148515,1148515,12/31/2021,1826958,742549,1084409,1084409,First Mortgage,Fee Simple,,,4333,847.52,,(i) Max combined LTV of 75.0% (ii) Min combined DSCR of 1.25x,,Group 4,0.010353527627554641,,,FREMF_2023-K154,,,,,,,60654.52,,No,No,Yes,,,,,,,,,,0.0013095000000000001,31.6471,-94.63748
1,Concord Villas,,3738 Harrison Street,Riverside,CA,92503,Riverside,Multifamily,Garden,1988,2022,54,178462.96,Units,1,2022-12-14 00:00:00,Refinance,1,10,2023-01-20 00:00:00,2023-03-01 00:00:00,2033-02-01 00:00:00,9637000,9637000,9637000,0.0572,0.0552905,Actual/360,Interest Only,46574.37,0,0,120,119,120,1,L(25) D(91) O(4),2022-11-16 00:00:00,17800000,0.541,0.541,1.62,1.62,1363269.31,444868.15,918401.16,908141.16,10/31/2022,1343324.72,431537.12,911787.6,911787.6,12/31/2021,1201033.44,438348.1,762685.34,762685.34,12/31/2020,1135853.24,433804.29,702048.95,702048.95,First Mortgage,Fee Simple,,,855,2103,,(i) Max combined LTV of 55.0% (ii) Min combined DSCR of 1.25x,,,0.00807518175354031,,,FREMF_2023-K154,,,,,,,46574.37,,No,No,Yes,,,,,,,,,,0.0019095000000000002,33.9151,-117.45323
1,Oakview Place Apartments,,3506 Oakview Place,Hephzibah,GA,30815,Richmond,Multifamily,Garden,1985,2022,124,68879.03,Units,0.944,2022-12-31 00:00:00,Refinance,1,10,2022-12-01 00:00:00,2023-01-01 00:00:00,2032-12-01 00:00:00,8541000,8541000,8155103.8,0.0588,0.057590499999999996,Actual/360,Partial IO,48013.56,420,420,120,117,60,3,L(27) D(89) O(4),2022-10-27 00:00:00,14500000,0.589,0.562,1.2,1.36,1271113.62,552033.63,719079.99,691427.99,12/31/2022,1299423.98,555638.02,743785.96,-66908.6,12/31/2020,1079225.93,577980.25,501245.68,287171.26,12/31/2019,963329.08,662642.55,300686.53,135795.43,First Mortgage,Fee Simple,,,2304,816.23,,"(i) Max combined LTV of 65.0% (ii) Min combined DSCR of 1.25x (iii) EGI of $1,309,247 and NOI of $712,171",,Group 2,0.0071568047480531066,,,FREMF_2023-K154,,,,,,,42432.16,,No,No,Yes,,,,,,,,,,0.0012095,33.38942,-82.06546
1,Pinnacle Place Apartments,,500 Caldwell Drive,Hephzibah,GA,30815,Richmond,Multifamily,Garden,1986,2022,120,69241.67,Units,0.967,2022-12-31 00:00:00,Refinance,1,10,2022-12-01 00:00:00,2023-01-01 00:00:00,2032-12-01 00:00:00,8309000,8309000,7933585.93,0.0588,0.057590499999999996,Actual/360,Partial IO,46709.37,420,420,120,117,60,3,L(27) D(89) O(4),2022-10-27 00:00:00,13800000,0.602,0.575,1.2,1.36,1265198.1,565919.12,699278.98,672638.98,12/31/2022,1273516.87,576798.03,696718.84,424308.79,12/31/2020,1119718.11,588361.29,531356.82,211444.71,12/31/2019,1080891,477207,603684,573684,First Mortgage,Fee Simple,,,2220,813.88,,(i) Max combined LTV of 65.0% (ii) Min combined DSCR of 1.25x,,Group 2,0.006962403776088662,,,FREMF_2023-K154,,,,,,,41279.57,,No,No,Yes,,,,,,,,,,0.0012095,33.38358,-82.09694
1,Glen Hollow Apartments,,505 Danville Road,Kilgore,TX,75662,Gregg,Multifamily,Garden,1976,2021,124,66258.06,Units,0.919,2022-12-31 00:00:00,Refinance,1,10,2022-12-08 00:00:00,2023-02-01 00:00:00,2033-01-01 00:00:00,8216000,8216000,7667035.45,0.0581,0.0567905,Actual/360,Partial IO,48259.96,360,360,120,118,60,2,L(26) D(90) O(4),2022-11-04 00:00:00,12050000,0.682,0.636,1.25,1.5,1395492,639845.84,755646.16,723902.16,12/31/2022,1334544,620288.66,714255.34,714255.34,10/31/2022,1301859,500489,801370,801370,12/31/2021,1156550,456357,700193,700193,First Mortgage,Fee Simple,,,2583,950.69,,(i) Max combined LTV of 70.0% (ii) Min combined DSCR of 1.25x,,Group 4,0.006884475800258087,,,FREMF_2023-K154,,,,,,,40331.62,,No,No,Yes,,,,,,,,,,0.0013095000000000001,32.38368,-94.83603
1,Stone Creek Apartments,,4541 Northeast Stallings Drive,Nacogdoches,TX,75965,Nacogdoches,Multifamily,Garden,1984,2021,120,61991.67,Units,0.967,2022-11-16 00:00:00,Refinance,1,10,2022-12-08 00:00:00,2023-02-01 00:00:00,2033-01-01 00:00:00,7439000,7439000,6941951.89,0.0581,0.0567905,Actual/360,Partial IO,43695.94,360,360,120,118,60,2,L(26) D(90) O(4),2022-11-04 00:00:00,9960000,0.747,0.697,1.25,1.5,1206475,518252.25,688222.75,655462.75,12/31/2022,1153929,457112,696817,696817,2022-10-31 00:00:00,1131503,445274,686229,686229,12/31/2021,1045864,414615,631249,631249,First Mortgage,Fee Simple,,,2500,853,,(i) Max combined LTV of 75.0% (ii) Min combined DSCR of 1.25x,,Group 4,0.006233400131221995,Radon Remediation Reserve,,FREMF_2023-K154,,,,,,,36517.4,,No,No,Yes,,,,,,,,,,0.0013095000000000001,31.65204,-94.64537
1,Sioux Acres MHC,,1620 Purcell Road,Lawrenceville,GA,30043,Gwinnett,Multifamily,Manufactured Housing Community,1969,,92,75228.26,Pads,1,2022-12-01 00:00:00,Acquisition,1,10,2022-12-15 00:00:00,2023-02-01 00:00:00,2033-01-01 00:00:00,6921000,6921000,6457678.49,0.058,0.0560905,Actual/360,Partial IO,40609.18,360,360,120,118,60,2,L(26) D(90) O(4),2022-09-20 00:00:00,11200000,0.618,0.577,1.25,1.5,919196,304731.86,614464.14,609864.14,10/31/2022,811727,271481,540246,534726,,,,,,,,,,,First Mortgage,Fee Simple,,,383,760,,(i) Max combined LTV of 65.0% (ii) Min combined DSCR of 1.25x,,Group 5,0.005799349685197934,,,FREMF_2023-K154,,,,,,,33916.1,,No,No,Yes,,,,,,,,,,0.0019095000000000002,33.96657,-84.05381
1,Columbia Sky MHP,,10956 Green Street,Columbia,CA,95310,Tuolumne,Multifamily,MHC Age Restricted,1970,,145,39531.03,Pads,0.917,2022-11-16 00:00:00,Acquisition,1,10,2022-12-28 00:00:00,2023-02-01 00:00:00,2033-01-01 00:00:00,5732000,5732000,5340163.58,0.0569,0.0549905,Actual/360,Partial IO,33232.24,360,360,120,118,60,2,L(26) D(90) O(4),2022-10-25 00:00:00,10700000,0.536,0.499,1.25,1.51,1033243.6,527448.39,505795.21,498545.21,10/31/2022,1001565.72,538560.34,463005.38,463005.38,12/31/2021,975182.1,500658.09,474524.01,474524.01,12/31/2020,948426.53,473038.73,475387.8,475387.8,First Mortgage,Fee Simple,,,605,572,,(i) Max combined LTV of 55.0% (ii) Min combined DSCR of 1.25x,,,0.004803044703880156,,,FREMF_2023-K154,,,,,,,27556.72,,No,No,Yes,,,,,,,,,,0.0019095000000000002,38.03715,-120.40517
1,City View At The Park,,2000 Woodward Street,Austin,TX,78741,Travis,Multifamily,Age Restricted,2007,,70,69928.57,Units,0.957,2022-12-21 00:00:00,Refinance,1,10,2022-12-15 00:00:00,2023-02-01 00:00:00,2033-01-01 00:00:00,4895000,4895000,4549504.77,0.0552,0.0530905,Actual/360,Partial IO,27854.73,360,360,120,118,60,2,L(26) D(90) O(4),2022-10-07 00:00:00,10400000,0.471,0.437,1.22,1.49,860543.52,429533.74,431009.78,407199.78,12/31/2022,848880,429596,419284,419284,12/31/2021,804551,363677,440874,440874,12/31/2020,737444,327185,410259,410259,First Mortgage,Fee Simple and Leasehold,,,1983,1084.76,,(i) Max combined LTV of 50.0% (ii) Min combined DSCR of 1.25x,,,0.004101692921404982,,,FREMF_2023-K154,,,,,,,22829.74,,No,Yes,Yes,,,,,,,,,,0.0021095,30.21795,-97.74372
1,Valle Verde,,750 2nd Street,Orange Cove,CA,93646,Fresno,Multifamily,Garden,2004,,73,26538.88,Units,0.945,2022-12-31 00:00:00,Refinance,1,10,2022-12-21 00:00:00,2023-02-01 00:00:00,2033-01-01 00:00:00,1942000,1937338.52,1615155.1,0.0536,0.0514905,Actual/360,Balloon,10856.49,360,358,120,118,0,2,L(26) D(90) O(4),2022-09-27 00:00:00,3770000,0.514,0.428,1.25,,720247.44,538070.97,182176.47,162928.56,12/31/2022,741857.87,553287.73,188570.14,139928.42,12/31/2021,685593.78,493430.74,192163.04,192163.04,12/31/2020,664123.84,458194.58,205929.26,205929.26,First Mortgage,Fee Simple,,,1604,903.99,,"(i) Max combined LTV of 60.0% (ii) Min combined DSCR of 1.25x (iii) EGI of $741,854 and NOI of $167,817",,,0.0016233641866903383,Tax Reserve,,FREMF_2023-K154,,,,,,,,,No,No,Yes,,,,,,,,,,0.0021095,36.62223,-119.30699
1,Cortland North Plano,,9601 Custer Road,Plano,TX,75025,Collin,Multifamily,Garden,1998,2022.0,548,177374.09,Units,0.953,2022-12-28,Refinance,1,10,2022-03-31,2022-05-01,2029-04-01,97201000,97201000,92926423.05,0.067,0.0656635,Actual/360,Partial IO,521795.99,360,360,84,71,36,13,L(11) 1%(69) O(4),2022-02-21,153300000,0.634,0.606,,,11775822.74,5328497.35,6447325.39,6332245.39,2022-12-31 00:00:00,13046158.03,5488322.67,7557835.36,7557835.36,12/31/2021,9724798.49,4684175.94,5040622.55,5040622.55,2020-12-31 00:00:00,8956202.0,4379713.33,4576488.11,4576488.11,First Mortgage,Fee Simple,,,9590,2084.0,,(i) Max combined LTV of 65.0% (ii) Min combined DSCR of 1.10x,,,0.10989347678128483,Insurance Reserve,,FREMF_2023-KF155,1,2023-06-01,30-Day Avg SOFR In Advance,0.022,Truncated to 5th decimal,First/Last (Arrears),410629.22,521795.99,No,No,Yes,,,,,,,,,,0.0013365,33.10595,-96.73366
